N_Jogo,Group/Stage,Stage,Date,Local Time,Time_of_day,Stadium,Stadium_type,City,Team,Origin_climate,Team_classification,Team_elimination,Opponent,Opponent_classification,Opponent_elimination,Ranking_difference,Team_ide,Player_id,Player # ,Player,Player_position,Player_age,Entrou,Saiu,Duração 1º tempo,Tempo jogado (1º tempo),Duração 2º tempo,Tempo jogado (2º tempo),Duração Prorrogação,Tempo jogado (prorrogação),Played_minutes,Total Distance (m),Zone 1:0-7 km/h (m),Zone 2:7-15 km/h (m),Zone 3:15-20 km/h (m),Zone 4:20-25 km/h (m),Zone 5:25+km/h (m),# High Speed Runs (Zone 3),# Sprints (Zone 4 & 5),Top_Speed,Total_distance_min,Zone1_min,Zone2_min,Zone12_min,Zone3_min,Zone4_min,Zone5_min,Zone45_min,N_zone3_min,N_zone4e5_min,Temp,Tdew,UR,UA,RAD,V,TN,TG,WBGT
1,Group A,Group,14/06/2025,20:00,Evening,Hard Rock Stadium,Open,Miami Gardens - Flórida,Al Ahly FC,Tropical,25,Group,Inter Miami CF,16,Round of 16,9,AlAhly,5-AlAhly,5,Mohamed Ali BEN ROMDHANE,MF,26,0,65,48,48,53,20,,,68,"7541,9",2606,"3421,8","961,6","413,3","139,2",81,32,"34,6","110,91","38,32","50,32","88,64","14,14","6,08","2,05","8,13","1,19","0,47","28,26","22,90","72,00","27,61","0,50","2,07","24,76","42,81","28,72"
1,Group A,Group,14/06/2025,20:00,Evening,Hard Rock Stadium,Open,Miami Gardens - Flórida,Al Ahly FC,Tropical,25,Group,Inter Miami CF,16,Round of 16,9,AlAhly,6-AlAhly,6,YASSER IBRAHIM,DF,32,0,98,48,48,53,53,,,101,"9231,5","4069,6","3477,4","1076,8","480,2","127,5",90,43,"28,9","91,40","40,29","34,43","74,72","10,66","4,75","1,26","6,02","0,89","0,43","28,26","22,90","72,00","27,61","0,50","2,07","24,76","42,81","28,72"
1,Group A,Group,14/06/2025,20:00,Evening,Hard Rock Stadium,Open,Miami Gardens - Flórida,Al Ahly FC,Tropical,25,Group,Inter Miami CF,16,Round of 16,9,AlAhly,7-AlAhly,7,TREZEGUET,MF,31,0,65,48,48,53,20,,,68,"7088,6","3075,2",2362,"917,8","451,3","282,4",87,43,"35,4","104,24","45,22","34,74","79,96","13,50","6,64","4,15","10,79","1,28","0,63","28,26","22,90","72,00","27,61","0,50","2,07","24,76","42,81","28,72"
1,Group A,Group,14/06/2025,20:00,Evening,Hard Rock Stadium,Open,Miami Gardens - Flórida,Al Ahly FC,Tropical,25,Group,Inter Miami CF,16,Round of 16,9,AlAhly,8-AlAhly,8,HAMDY FATHY,MF,31,0,98,48,48,53,53,,,101,"10752,5","3938,6","4783,3","1455,4","470,3","104,8",148,37,"37,1","106,46","39,00","47,36","86,36","14,41","4,66","1,04","5,69","1,47","0,37","28,26","22,90","72,00","27,61","0,50","2,07","24,76","42,81","28,72"
1,Group A,Group,14/06/2025,20:00,Evening,Hard Rock Stadium,Open,Miami Gardens - Flórida,Al Ahly FC,Tropical,25,Group,Inter Miami CF,16,Round of 16,9,AlAhly,9-AlAhly,9,WESSAM ABOU ALI,FW,27,0,79,48,48,53,34,,,82,"8025,4","3449,3","2465,5","1258,1","600,8","251,6",113,50,34,"97,87","42,06","30,07","72,13","15,34","7,33","3,07","10,40","1,38","0,61","28,26","22,90","72,00","27,61","0,50","2,07","24,76","42,81","28,72"
1,Group A,Group,14/06/2025,20:00,Evening,Hard Rock Stadium,Open,Miami Gardens - Flórida,Al Ahly FC,Tropical,25,Group,Inter Miami CF,16,Round of 16,9,AlAhly,13-AlAhly,13,MARAWAN ATTIA,MF,27,0,98,48,48,53,53,,,101,"10304,8","4118,7","4392,1","1322,2","318,2","153,5",113,31,"43,5","102,03","40,78","43,49","84,27","13,09","3,15","1,52","4,67","1,12","0,31","28,26","22,90","72,00","27,61","0,50","2,07","24,76","42,81","28,72"
1,Group A,Group,14/06/2025,20:00,Evening,Hard Rock Stadium,Open,Miami Gardens - Flórida,Al Ahly FC,Tropical,25,Group,Inter Miami CF,16,Round of 16,9,AlAhly,15-AlAhly,15,Achraf DARI,DF,26,0,98,48,48,53,53,,,101,"9267,2","4048,6","3938,4","846,4","318,9","114,9",78,29,33,"91,75","40,09","38,99","79,08","8,38","3,16","1,14","4,30","0,77","0,29","28,26","22,90","72,00","27,61","0,50","2,07","24,76","42,81","28,72"
1,Group A,Group,14/06/2025,20:00,Evening,Hard Rock Stadium,Open,Miami Gardens - Flórida,Al Ahly FC,Tropical,25,Group,Inter Miami CF,16,Round of 16,9,AlAhly,22-AlAhly,22,EMAM ASHOUR,MF,27,0,14,48,14,53,0,,,14,"1569,2","463,3",695,"269,9","100,8","40,2",26,9,30,"112,09","33,09","49,64","82,74","19,28","7,20","2,87","10,07","1,86","0,64","28,26","22,90","72,00","27,61","0,50","2,07","24,76","42,81","28,72"
1,Group A,Group,14/06/2025,20:00,Evening,Hard Rock Stadium,Open,Miami Gardens - Flórida,Al Ahly FC,Tropical,25,Group,Inter Miami CF,16,Round of 16,9,AlAhly,30-AlAhly,30,MOHAMED HANY,DF,30,0,98,48,48,53,53,,,101,"9650,4","4190,5","3834,7","1010,4","430,9",184,80,39,"31,4","95,55","41,49","37,97","79,46","10,00","4,27","1,82","6,09","0,79","0,39","28,26","22,90","72,00","27,61","0,50","2,07","24,76","42,81","28,72"
1,Group A,Group,14/06/2025,20:00,Evening,Hard Rock Stadium,Open,Miami Gardens - Flórida,Al Ahly FC,Tropical,25,Group,Inter Miami CF,16,Round of 16,9,AlAhly,36-AlAhly,36,AHMED KOKA,MF,24,0,98,48,48,53,53,,,101,"9262,7","4260,4","3560,6","969,3",353,"119,4",82,38,31,"91,71","42,18","35,25","77,44","9,60","3,50","1,18","4,68","0,81","0,38","28,26","22,90","72,00","27,61","0,50","2,07","24,76","42,81","28,72"
